item,element,year,value,unit
"Tangerines, mandarins, clementines",Production,1961,10000.0,t
Tea leaves,Area harvested,1961,32000.0,ha
Tea leaves,Yield,1961,829.4,kg/ha
Tea leaves,Production,1961,26542.0,t
Tomatoes,Area harvested,1961,8071.0,ha
Tomatoes,Yield,1961,6059.3,kg/ha
Tomatoes,Production,1961,48905.0,t
Unmanufactured tobacco,Area harvested,1961,41300.0,ha
Unmanufactured tobacco,Yield,1961,627.1,kg/ha
Unmanufactured tobacco,Production,1961,25900.0,t
Wheat,Area harvested,1961,56657.0,ha
Wheat,Yield,1961,573.8,kg/ha
Wheat,Production,1961,32512.0,t
"Beef and Buffalo Meat, primary",Yield/Carcass Weight,1961,56.0,kg/An
"Beef and Buffalo Meat, primary",Production,1961,119800.0,t
"Beef and Buffalo Meat, primary",Producing Animals/Slaughtered,1961,2130000.0,An
Butter and Ghee,Production,1961,9640.0,t
Cattle and Buffaloes,Stocks,1961,20350000.0,An
"Cereals, primary",Area harvested,1961,8639332.0,ha
"Cereals, primary",Yield,1961,1681.1,kg/ha
"Cereals, primary",Production,1961,14523696.0,t
Cheese (All Kinds),Production,1961,650.0,t
"Citrus Fruit, Total",Area harvested,1961,4650.0,ha
"Citrus Fruit, Total",Yield,1961,3871.0,kg/ha
"Citrus Fruit, Total",Production,1961,18000.0,t
Eggs Primary,Yield/Carcass Weight,1961,2414.0,g/An
Eggs Primary,Production,1961,21000.0,t
Eggs Primary,Laying,1961,8700.0,1000 An
"Fibre Crops, Fibre Equivalent",Area harvested,1961,883083.0,ha
"Fibre Crops, Fibre Equivalent",Yield,1961,1533.6,kg/ha
"Fibre Crops, Fibre Equivalent",Production,1961,1354290.4,t
Fruit Primary,Area harvested,1961,112050.0,ha
Fruit Primary,Yield,1961,11497.6,kg/ha
Fruit Primary,Production,1961,1288305.0,t
"Meat, Poultry",Yield/Carcass Weight,1961,809.0,g/An
"Meat, Poultry",Production,1961,18600.0,t
"Meat, Poultry",Producing Animals/Slaughtered,1961,23000.0,1000 An
"Meat, Total",Production,1961,168900.0,t
"Milk, Total",Yield/Carcass Weight,1961,146.0,kg/An
"Milk, Total",Production,1961,915460.0,t
"Milk, Total",Milk Animals,1961,6274000.0,An
"Oilcrops, Cake Equivalent",Area harvested,1961,353288.0,ha
"Oilcrops, Cake Equivalent",Yield,1961,259.1,kg/ha
"Oilcrops, Cake Equivalent",Production,1961,91553.65,t
"Oilcrops, Oil Equivalent",Area harvested,1961,353693.0,ha
"Oilcrops, Oil Equivalent",Yield,1961,181.3,kg/ha
"Oilcrops, Oil Equivalent",Production,1961,64106.94,t
Poultry Birds,Stocks,1961,23000.0,1000 An
"Pulses, Total",Area harvested,1961,364991.0,ha
"Pulses, Total",Yield,1961,694.8,kg/ha
"Pulses, Total",Production,1961,253600.0,t
"Roots and Tubers, Total",Area harvested,1961,92847.0,ha
"Roots and Tubers, Total",Yield,1961,7252.9,kg/ha
"Roots and Tubers, Total",Production,1961,673408.0,t
Sheep and Goat Meat,Yield/Carcass Weight,1961,7.0,kg/An
Sheep and Goat Meat,Production,1961,27500.0,t
Sheep and Goat Meat,Producing Animals/Slaughtered,1961,3950000.0,An
Sheep and Goats,Stocks,1961,8200000.0,An
Sugar Crops Primary,Area harvested,1961,122108.0,ha
Sugar Crops Primary,Yield,1961,35692.0,kg/ha
Sugar Crops Primary,Production,1961,4358280.0,t
Vegetables Primary,Area harvested,1961,157150.0,ha
Vegetables Primary,Yield,1961,5132.0,kg/ha
Vegetables Primary,Production,1961,806500.0,t
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Production,1962,300.0,t
Areca nuts,Area harvested,1962,82600.0,ha
Areca nuts,Yield,1962,676.5,kg/ha
Areca nuts,Production,1962,55882.0,t
Bananas,Area harvested,1962,34800.0,ha
Bananas,Yield,1962,14715.5,kg/ha
Bananas,Production,1962,512100.0,t
Barley,Area harvested,1962,33589.0,ha
Barley,Yield,1962,544.5,kg/ha
Barley,Production,1962,18288.0,t
"Beans, dry",Area harvested,1962,73654.0,ha
"Beans, dry",Yield,1962,675.9,kg/ha
"Beans, dry",Production,1962,49784.0,t
Buffalo,Stocks,1962,550000.0,An
"Buffalo fat, unrendered",Production,1962,95.83,t
"Buffalo fat, unrendered",Producing Animals/Slaughtered,1962,27000.0,An
Butter of cow milk,Production,1962,450.0,t
Cabbages,Area harvested,1962,5340.0,ha
Cabbages,Yield,1962,5943.4,kg/ha
Cabbages,Production,1962,31738.0,t
Cantaloupes and other melons,Area harvested,1962,6000.0,ha
Cantaloupes and other melons,Yield,1962,16666.7,kg/ha
Cantaloupes and other melons,Production,1962,100000.0,t
Castor oil seeds,Area harvested,1962,405.0,ha
Castor oil seeds,Yield,1962,501.2,kg/ha
Castor oil seeds,Production,1962,203.0,t
Cattle,Stocks,1962,20500000.0,An
"Cattle fat, unrendered",Production,1962,3932.61,t
"Cattle fat, unrendered",Producing Animals/Slaughtered,1962,2154000.0,An
Cauliflowers and broccoli,Area harvested,1962,5019.0,ha
Cauliflowers and broccoli,Yield,1962,5214.2,kg/ha
Cauliflowers and broccoli,Production,1962,26170.0,t
Cheese from whole cow milk,Production,1962,650.0,t
"Chick peas, dry",Area harvested,1962,57466.0,ha
"Chick peas, dry",Yield,1962,654.2,kg/ha
"Chick peas, dry",Production,1962,37592.0,t
Chickens,Stocks,1962,20000.0,1000 An
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Area harvested,1962,70000.0,ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Yield,1962,685.7,kg/ha
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Production,1962,48000.0,t
Coconut oil,Production,1962,5378.19,t
"Coconuts, in shell",Area harvested,1962,18600.0,ha
"Coconuts, in shell",Yield,1962,2786.0,kg/ha
"Coconuts, in shell",Production,1962,51819.0,t
"Coir, raw",Production,1962,6628.0,t
"Cotton lint, ginned",Production,1962,3048.0,t
Cotton seed,Production,1962,6096.0,t
Cottonseed oil,Production,1962,816.43,t
Cucumbers and gherkins,Area harvested,1962,2350.0,ha
Cucumbers and gherkins,Yield,1962,4501.7,kg/ha
Cucumbers and gherkins,Production,1962,10579.0,t
Ducks,Stocks,1962,9000.0,1000 An
"Edible offal of buffalo, fresh, chilled or frozen",Production,1962,416.67,t
"Edible offal of buffalo, fresh, chilled or frozen",Producing Animals/Slaughtered,1962,27000.0,An
"Edible offal of cattle, fresh, chilled or frozen",Production,1962,24120.0,t
"Edible offal of cattle, fresh, chilled or frozen",Producing Animals/Slaughtered,1962,2154000.0,An
"Edible offal of goat, fresh, chilled or frozen",Production,1962,7942.86,t
"Edible offal of goat, fresh, chilled or frozen",Producing Animals/Slaughtered,1962,3975000.0,An
"Edible offal of sheep, fresh, chilled or frozen",Production,1962,157.66,t
"Edible offal of sheep, fresh, chilled or frozen",Producing Animals/Slaughtered,1962,162000.0,An
"Eggs from other birds in shell, fresh, n.e.c.",Yield,1962,74.0,No/An
"Eggs from other birds in shell, fresh, n.e.c.",Yield/Carcass Weight,1962,3533.0,g/An
"Eggs from other birds in shell, fresh, n.e.c.",Production,1962,15900.0,t
"Eggs from other birds in shell, fresh, n.e.c.",Production,1962,331000.0,1000 No
"Eggs from other birds in shell, fresh, n.e.c.",Laying,1962,4500.0,1000 An
Ghee from buffalo milk,Production,1962,392.0,t
Ghee from cow milk,Production,1962,9000.0,t
"Ginger, raw",Area harvested,1962,3300.0,ha
"Ginger, raw",Yield,1962,6666.7,kg/ha
"Ginger, raw",Production,1962,22000.0,t
"Goat fat, unrendered",Production,1962,2042.45,t
"Goat fat, unrendered",Producing Animals/Slaughtered,1962,3975000.0,An
Goats,Stocks,1962,7950000.0,An
Green garlic,Area harvested,1962,9700.0,ha
Green garlic,Yield,1962,3556.7,kg/ha
Green garlic,Production,1962,34500.0,t
Groundnut oil,Production,1962,3250.14,t
"Groundnuts, excluding shelled",Area harvested,1962,9308.0,ha
"Groundnuts, excluding shelled",Yield,1962,1419.0,kg/ha
"Groundnuts, excluding shelled",Production,1962,13208.0,t
"Hen eggs in shell, fresh",Yield,1962,35.0,No/An
"Hen eggs in shell, fresh",Yield/Carcass Weight,1962,1646.0,g/An
"Hen eggs in shell, fresh",Production,1962,10700.0,t
"Hen eggs in shell, fresh",Production,1962,229300.0,1000 No
"Hen eggs in shell, fresh",Laying,1962,6500.0,1000 An
"Jute, raw or retted",Area harvested,1962,697300.0,ha
"Jute, raw or retted",Yield,1962,1706.8,kg/ha
"Jute, raw or retted",Production,1962,1190160.0,t
"Kenaf, and other textile bast fibres, raw or retted",Area harvested,1962,30900.0,ha
"Kenaf, and other textile bast fibres, raw or retted",Yield,1962,1129.4,kg/ha
"Kenaf, and other textile bast fibres, raw or retted",Production,1962,34900.0,t
Lemons and limes,Area harvested,1962,800.0,ha
Lemons and limes,Yield,1962,2500.0,kg/ha
Lemons and limes,Production,1962,2000.0,t
"Lentils, dry",Area harvested,1962,64346.0,ha
"Lentils, dry",Yield,1962,742.1,kg/ha
"Lentils, dry",Production,1962,47752.0,t
Lettuce and chicory,Area harvested,1962,9000.0,ha
Lettuce and chicory,Yield,1962,5666.7,kg/ha
Lettuce and chicory,Production,1962,51000.0,t
Linseed,Area harvested,1962,19830.0,ha
Linseed,Yield,1962,512.4,kg/ha
Linseed,Production,1962,10160.0,t
Maize (corn),Area harvested,1962,6880.0,ha
Maize (corn),Yield,1962,738.4,kg/ha
Maize (corn),Production,1962,5080.0,t
"Mangoes, guavas and mangosteens",Area harvested,1962,44000.0,ha
"Mangoes, guavas and mangosteens",Yield,1962,11454.5,kg/ha
"Mangoes, guavas and mangosteens",Production,1962,504000.0,t
"Meat of buffalo, fresh or chilled",Yield/Carcass Weight,1962,74.0,kg/An
"Meat of buffalo, fresh or chilled",Production,1962,2000.0,t
"Meat of buffalo, fresh or chilled",Producing Animals/Slaughtered,1962,27000.0,An
"Meat of cattle with the bone, fresh or chilled",Yield/Carcass Weight,1962,56.0,kg/An
"Meat of cattle with the bone, fresh or chilled",Production,1962,120600.0,t
"Meat of cattle with the bone, fresh or chilled",Producing Animals/Slaughtered,1962,2154000.0,An
"Meat of chickens, fresh or chilled",Yield/Carcass Weight,1962,730.0,g/An
"Meat of chickens, fresh or chilled",Production,1962,14600.0,t
"Meat of chickens, fresh or chilled",Producing Animals/Slaughtered,1962,20000.0,1000 An
"Meat of ducks, fresh or chilled",Yield/Carcass Weight,1962,1000.0,g/An
"Meat of ducks, fresh or chilled",Production,1962,8500.0,t
"Meat of ducks, fresh or chilled",Producing Animals/Slaughtered,1962,8500.0,1000 An
"Meat of goat, fresh or chilled",Yield/Carcass Weight,1962,7.0,kg/An
"Meat of goat, fresh or chilled",Production,1962,27800.0,t
"Meat of goat, fresh or chilled",Producing Animals/Slaughtered,1962,3975000.0,An
"Meat of sheep, fresh or chilled",Yield/Carcass Weight,1962,6.0,kg/An
"Meat of sheep, fresh or chilled",Production,1962,950.0,t
"Meat of sheep, fresh or chilled",Producing Animals/Slaughtered,1962,162000.0,An
Millet,Area harvested,1962,61500.0,ha
Millet,Yield,1962,643.9,kg/ha
Millet,Production,1962,39600.0,t
Molasses,Production,1962,30480.0,t
Oil of linseed,Production,1962,3274.64,t
Oil of sesame seed,Production,1962,10041.84,t
"Onions and shallots, dry (excluding dehydrated)",Area harvested,1962,23500.0,ha
"Onions and shallots, dry (excluding dehydrated)",Yield,1962,5557.4,kg/ha
"Onions and shallots, dry (excluding dehydrated)",Production,1962,130600.0,t
Oranges,Area harvested,1962,1250.0,ha
Oranges,Yield,1962,4000.0,kg/ha
Oranges,Production,1962,5000.0,t
"Other beans, green",Area harvested,1962,3952.0,ha
"Other beans, green",Yield,1962,3804.1,kg/ha
"Other beans, green",Production,1962,15034.0,t
Other berries and fruits of the genus vaccinium n.e.c.,Area harvested,1962,600.0,ha
Other berries and fruits of the genus vaccinium n.e.c.,Yield,1962,5000.0,kg/ha
Other berries and fruits of the genus vaccinium n.e.c.,Production,1962,3000.0,t
"Other fibre crops, raw, n.e.c.",Area harvested,1962,2000.0,ha
"Other fibre crops, raw, n.e.c.",Yield,1962,900.0,kg/ha
"Other fibre crops, raw, n.e.c.",Production,1962,1800.0,t
"Other fruits, n.e.c.",Area harvested,1962,9000.0,ha
"Other fruits, n.e.c.",Yield,1962,6666.7,kg/ha
"Other fruits, n.e.c.",Production,1962,60000.0,t
"Other meat of mammals, fresh or chilled",Production,1962,3500.0,t
"Other oil seeds, n.e.c.",Area harvested,1962,4856.0,ha
"Other oil seeds, n.e.c.",Yield,1962,209.2,kg/ha
"Other oil seeds, n.e.c.",Production,1962,1016.0,t
Other pulses n.e.c.,Area harvested,1962,138809.0,ha
Other pulses n.e.c.,Yield,1962,673.4,kg/ha
Other pulses n.e.c.,Production,1962,93472.0,t
"Other stimulant, spice and aromatic crops, n.e.c.",Area harvested,1962,31600.0,ha
"Other stimulant, spice and aromatic crops, n.e.c.",Yield,1962,2990.5,kg/ha
"Other stimulant, spice and aromatic crops, n.e.c.",Production,1962,94500.0,t
Other sugar crops n.e.c.,Area harvested,1962,9500.0,ha
Other sugar crops n.e.c.,Yield,1962,36842.1,kg/ha
Other sugar crops n.e.c.,Production,1962,350000.0,t
"Other tropical fruits, n.e.c.",Area harvested,1962,13000.0,ha
