region,upazila,area_ha,annual_crop_ha,single_cropped_ha,double_cropped_ha,triple_cropped_ha,quadruple_cropped_ha,other_ha,net_cropped_ha,cropping_intensity_pct,source,adm3_name,district,lat,lon
Bogra,Raiganj,26667.0,400.0,1100.0,17880.0,2300.0,0.0,120.0,21800.0,203.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Ramganj,Lakshmipur,23.0989,90.8726
Bogra,Shahjadpur,32462.0,10.0,1870.0,16900.0,6000.0,0.0,120.0,24900.0,217.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Shahjadpur,Sirajganj,24.1628,89.6301
Bogra,Sirajganj,30855.0,1500.0,1240.0,16550.0,4220.0,0.0,190.0,23700.0,206.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Sirajganj Sadar,Sirajganj,24.494,89.6885
Bogra,Tarash,29732.0,10.0,3675.0,17635.0,3305.0,0.0,125.0,24750.0,198.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Tarash,Sirajganj,24.4431,89.3581
Bogra,Ullapara,41461.0,40.0,5440.0,18070.0,8390.0,0.0,150.0,32090.0,209.0,"Bangladesh Rice Journal 21(2) 2017, 'Diversity of Cropping Pattern in Bogra', doi:10.3329/brj.v21i2.38197",Ullah Para,Sirajganj,24.3273,89.5181
Comilla,Akhaura,9888.0,20.0,1940.0,4100.0,320.0,0.0,90.0,6470.0,174.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Akhaura,Brahamanbaria,23.8386,91.1951
Comilla,Ashuganj,6759.0,20.0,300.0,3650.0,1050.0,0.0,80.0,5100.0,215.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Ashuganj,Brahamanbaria,24.0158,91.0184
Comilla,B.Baria,23744.0,10.0,4800.0,8280.0,1820.0,50.0,140.0,15100.0,181.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Brahmanbaria Sadar,Brahamanbaria,23.9506,91.119
Comilla,Bijoynagar,22007.0,70.0,8500.0,5630.0,350.0,0.0,120.0,14670.0,144.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Bijoynagar,Brahamanbaria,23.9944,91.2282
Comilla,Bancharampur,21738.0,20.0,8060.0,5580.0,0.0,0.0,110.0,13770.0,141.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Banchharampur,Brahamanbaria,23.7801,90.807
