crop,group,l_ini,l_dev,l_mid,l_late,total_days,plant_date,region,frac_ini,frac_dev,frac_mid,frac_late,source
Sweet potato,Roots and Tubers,20.0,30.0,60.0,40.0,150.0,April,Mediterranean,0.133,0.2,0.4,0.267,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sweet potato,Roots and Tubers,15.0,30.0,50.0,30.0,125.0,Rainy seas.,Tropical regions,0.12,0.24,0.4,0.24,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sugarbeet,Roots and Tubers,30.0,45.0,90.0,15.0,180.0,March,"Calif., USA",0.167,0.25,0.5,0.083,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sugarbeet,Roots and Tubers,25.0,30.0,90.0,10.0,155.0,June,"Calif., USA",0.161,0.194,0.581,0.065,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sugarbeet,Roots and Tubers,25.0,65.0,100.0,65.0,255.0,Sept,"Calif. Desert, USA",0.098,0.255,0.392,0.255,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sugarbeet,Roots and Tubers,50.0,40.0,50.0,40.0,180.0,April,"Idaho, USA",0.278,0.222,0.278,0.222,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sugarbeet,Roots and Tubers,25.0,35.0,50.0,50.0,160.0,May,Mediterranean,0.156,0.219,0.312,0.312,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sugarbeet,Roots and Tubers,45.0,75.0,80.0,30.0,230.0,November,Mediterranean,0.196,0.326,0.348,0.13,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sugarbeet,Roots and Tubers,35.0,60.0,70.0,40.0,205.0,November,Arid Regions,0.171,0.293,0.341,0.195,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Beans (green),Legumes (Leguminosae),20.0,30.0,30.0,10.0,90.0,Feb/Mar,"Calif., Mediterranean",0.222,0.333,0.333,0.111,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Beans (green),Legumes (Leguminosae),15.0,25.0,25.0,10.0,75.0,Aug/Sep,"Calif., Egypt, Lebanon",0.2,0.333,0.333,0.133,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Beans (dry),Legumes (Leguminosae),20.0,30.0,40.0,20.0,110.0,May/June,Continental Climates,0.182,0.273,0.364,0.182,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Beans (dry),Legumes (Leguminosae),15.0,25.0,35.0,20.0,95.0,June,"Pakistan, Calif.",0.158,0.263,0.368,0.211,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Beans (dry),Legumes (Leguminosae),25.0,25.0,30.0,20.0,100.0,June,"Idaho, USA",0.25,0.25,0.3,0.2,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Faba bean, broad bean",Legumes (Leguminosae),15.0,25.0,35.0,15.0,90.0,May,Europe,0.167,0.278,0.389,0.167,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Faba bean, broad bean",Legumes (Leguminosae),20.0,30.0,35.0,15.0,100.0,Mar/Apr,Mediterranean,0.2,0.3,0.35,0.15,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Faba bean, broad bean - dry",Legumes (Leguminosae),90.0,45.0,40.0,60.0,235.0,Nov,Europe,0.383,0.191,0.17,0.255,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Faba bean, broad bean - green",Legumes (Leguminosae),90.0,45.0,40.0,0.0,175.0,Nov,Europe,0.514,0.257,0.229,0.0,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
"Green gram, cowpeas",Legumes (Leguminosae),20.0,30.0,30.0,20.0,100.0,March,Mediterranean,0.2,0.3,0.3,0.2,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Groundnut,Legumes (Leguminosae),25.0,35.0,45.0,25.0,130.0,Dry,West Africa,0.192,0.269,0.346,0.192,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Groundnut,Legumes (Leguminosae),35.0,35.0,35.0,35.0,140.0,season,High Latitudes,0.25,0.25,0.25,0.25,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Groundnut,Legumes (Leguminosae),35.0,45.0,35.0,25.0,140.0,May May/June,Mediterranean,0.25,0.321,0.25,0.179,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Lentil,Legumes (Leguminosae),20.0,30.0,60.0,40.0,150.0,April,Europe,0.133,0.2,0.4,0.267,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Lentil,Legumes (Leguminosae),25.0,35.0,70.0,40.0,170.0,Oct/Nov,Arid Region,0.147,0.206,0.412,0.235,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Peas,Legumes (Leguminosae),15.0,25.0,35.0,15.0,90.0,May,Europe,0.167,0.278,0.389,0.167,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Peas,Legumes (Leguminosae),20.0,30.0,35.0,15.0,100.0,Mar/Apr,Mediterranean,0.2,0.3,0.35,0.15,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Peas,Legumes (Leguminosae),35.0,25.0,30.0,20.0,110.0,April,"Idaho, USA",0.318,0.227,0.273,0.182,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Soybeans,Legumes (Leguminosae),15.0,15.0,40.0,15.0,85.0,Dec,Tropics,0.176,0.176,0.471,0.176,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Soybeans,Legumes (Leguminosae),20.0,30.0,60.0,25.0,135.0,May,Central USA,0.148,0.222,0.444,0.185,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Soybeans,Legumes (Leguminosae),20.0,25.0,75.0,30.0,150.0,June,Japan,0.133,0.167,0.5,0.2,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Artichoke,Perennial Vegetables (with winter dormancy and initially bare or mulched soil),40.0,40.0,250.0,30.0,360.0,Apr (1st yr),California,0.111,0.111,0.694,0.083,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Artichoke,Perennial Vegetables (with winter dormancy and initially bare or mulched soil),20.0,25.0,250.0,30.0,325.0,May (2nd yr),(cut in May),0.062,0.077,0.769,0.092,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Asparagus,Perennial Vegetables (with winter dormancy and initially bare or mulched soil),50.0,30.0,100.0,50.0,230.0,Feb,Warm Winter,0.217,0.13,0.435,0.217,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Asparagus,Perennial Vegetables (with winter dormancy and initially bare or mulched soil),90.0,30.0,200.0,45.0,365.0,Feb,Mediterranean,0.247,0.082,0.548,0.123,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cotton,Fibre Crops,30.0,50.0,60.0,55.0,195.0,Mar-May,Egypt; Pakistan; Calif.,0.154,0.256,0.308,0.282,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cotton,Fibre Crops,45.0,90.0,45.0,45.0,225.0,Mar,"Calif. Desert, USA",0.2,0.4,0.2,0.2,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cotton,Fibre Crops,30.0,50.0,60.0,55.0,195.0,Sept,Yemen,0.154,0.256,0.308,0.282,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Cotton,Fibre Crops,30.0,50.0,55.0,45.0,180.0,April,Texas,0.167,0.278,0.306,0.25,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Flax,Fibre Crops,25.0,35.0,50.0,40.0,150.0,April,Europe,0.167,0.233,0.333,0.267,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Flax,Fibre Crops,30.0,40.0,100.0,50.0,220.0,October,Arizona,0.136,0.182,0.455,0.227,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Castor beans,Oil Crops,25.0,40.0,65.0,50.0,180.0,March,(Semi) Arid Climates,0.139,0.222,0.361,0.278,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
