site_id,name,district,lat,lon,shape_id
ADM3_Fulgazi,Fulgazi,,23.118,91.4425,5055444B33879349571627
ADM3_Gabtali,Gabtali,,24.8868,89.465,5055444B85005696436554
ADM3_Gaffargaon,Gaffargaon,,24.3935,90.5495,5055444B28348959120095
ADM3_GaibandhaSadar,Gaibandha Sadar,,25.3497,89.5667,5055444B3189341921764
ADM3_Galachipa,Galachipa,,22.2031,90.423,5055444B92476324318819
ADM3_Gangachara,Gangachara,,25.8742,89.1933,5055444B51911213656614
ADM3_Gangni,Gangni,,23.8576,88.771,5055444B93126942536388
ADM3_Gauripur,Gauripur,,24.756,90.5858,5055444B70908799520391
ADM3_Gaurnadi,Gaurnadi,,22.9662,90.2447,5055444B66414754271755
ADM3_Gazaria,Gazaria,,23.5472,90.6297,5055444B82094787312382
ADM3_GazipurSadar,Gazipur Sadar,,24.0141,90.3962,5055444B30367199884921
ADM3_Gendaria,Gendaria,,23.7066,90.4225,5055444B38357461991586
ADM3_Ghatail,Ghatail,,24.4735,90.0516,5055444B57482053594042
ADM3_Ghior,Ghior,,23.8732,89.9046,5055444B67168337318866
ADM3_Ghoraghat,Ghoraghat,,25.2844,89.2143,5055444B96277257106353
ADM3_Goalandaghat,Goalandaghat,,23.7564,89.7661,5055444B47253162871751
ADM3_Gobindaganj,Gobindaganj,,25.1572,89.3691,5055444B10956713741536
ADM3_Godagari,Godagari,,24.4836,88.4147,5055444B45852065441553
ADM3_Golabganj,Golabganj,,24.812,92.017,5055444B69213858716566
ADM3_Gomastapur,Gomastapur,,24.8569,88.355,5055444B89693136712968
ADM3_GopalganjSadar,Gopalganj Sadar,,23.0604,89.8489,5055444B13443177435533
ADM3_Gopalpur,Gopalpur,,24.572,89.9036,5055444B71793030218448
ADM3_Gosairhat,Gosairhat,,23.0796,90.447,5055444B74969054630595
ADM3_Gowainghat,Gowainghat,,25.0831,91.9583,5055444B62684954860182
ADM3_Gulshan,Gulshan,,23.7896,90.4121,5055444B56461784969328
ADM3_Gurudaspur,Gurudaspur,,24.3728,89.203,5055444B53518678954927
ADM3_HabiganjSadar,Habiganj Sadar,,24.3359,91.4143,5055444B24382626124582
ADM3_HaimChar,Haim Char,,23.0727,90.6618,5055444B97119696275156
ADM3_Hajiganj,Hajiganj,,23.263,90.8372,5055444B37219354955474
ADM3_Hakimpur,Hakimpur,,25.2921,89.062,5055444B56333063181641
ADM3_Halishahar,Halishahar,,22.3375,91.776,5055444B67671348239307
ADM3_Haluaghat,Haluaghat,,25.0846,90.3513,5055444B66377868060311
ADM3_Harinakunda,Harinakunda,,23.6428,89.0766,5055444B20021225888412
ADM3_Haripur,Haripur,,25.8785,88.1549,5055444B33565614058430
ADM3_Harirampur,Harirampur,,23.7242,89.9478,5055444B53451019672150
ADM3_Hathazari,Hathazari,,22.5287,91.7971,5055444B98016911778597
ADM3_Hatibandha,Hatibandha,,26.1215,89.1409,5055444B78670664180744
ADM3_Hatiya,Hatiya,,22.2431,91.1116,5055444B26590135153615
ADM3_Hazaribagh,Hazaribagh,,23.7389,90.3593,5055444B79082430711641
ADM3_Hizla,Hizla,,22.966,90.5334,5055444B36389182328145
ADM3_Homna,Homna,,23.6791,90.8128,5055444B68305043582994
ADM3_Hossainpur,Hossainpur,,24.4488,90.6628,5055444B58039681953949
ADM3_Ishwardi,Ishwardi,,24.0778,89.0972,5055444B93250488853616
ADM3_Ishwarganj,Ishwarganj,,24.645,90.5994,5055444B3881119476901
ADM3_Islampur,Islampur,,25.0752,89.7613,5055444B8648993873034
ADM3_Itna,Itna,,24.5491,91.0826,5055444B52552217694509
ADM3_Jagannathpur,Jagannathpur,,24.7469,91.5558,5055444B57165749218775
ADM3_Jaintiapur,Jaintiapur,,25.0565,92.1014,5055444B19736672664555
ADM3_Jaldhaka,Jaldhaka,,26.0296,88.9933,5055444B28351243268521
ADM3_Jamalganj,Jamalganj,,24.9542,91.203,5055444B62205139742422
ADM3_JamalpurSadar,Jamalpur Sadar,,24.8442,90.0125,5055444B56108573685352
ADM3_Jatrabari,Jatrabari,,23.7134,90.4515,5055444B25595964672870
ADM3_JhalokatiSadar,Jhalokati Sadar,,22.6797,90.1922,5055444B65755720973040
ADM3_JhenaidahSadar,Jhenaidah Sadar,,23.5165,89.1577,5055444B48976868209107
ADM3_Jhenaigati,Jhenaigati,,25.1818,90.053,5055444B69691307586178
ADM3_Jhikargachha,Jhikargachha,,23.0688,89.0542,5055444B85710752222432
ADM3_JibanNagar,Jiban Nagar,,23.4411,88.8491,5055444B6466456665233
ADM3_JoypurhatSadar,Joypurhat Sadar,,25.1055,89.0199,5055444B93992233540184
ADM3_JuraiChhari,Jurai Chhari,,22.6309,92.4225,5055444B74589798981468
ADM3_Juri,Juri,,24.5532,92.1432,5055444B59468636811398
ADM3_Kabirhat,Kabirhat,,22.8133,91.1999,5055444B43660249750517
ADM3_Kachua_371605,Kachua,,23.3627,90.8817,5055444B26000063371605
ADM3_Kachua_342001,Kachua,,22.6523,89.8748,5055444B45763883342001
ADM3_Kadamtali,Kadamtali,,23.6872,90.4484,5055444B98895982185439
ADM3_Kafrul,Kafrul,,23.7953,90.3848,5055444B63983691041165
ADM3_Kahaloo,Kahaloo,,24.8323,89.2505,5055444B94680478371785
ADM3_Kaharole,Kaharole,,25.8009,88.5988,5055444B76754438754784
ADM3_KalaPara,Kala Para,,21.8914,90.1948,5055444B33791215686777
ADM3_Kalabagan,Kalabagan,,23.7469,90.386,5055444B44586905762707
ADM3_Kalai,Kalai,,25.0779,89.1977,5055444B30865127714111
ADM3_Kalaroa,Kalaroa,,22.8807,89.0303,5055444B76251255413943
ADM3_Kalia,Kalia,,23.028,89.644,5055444B27555215453497
ADM3_Kaliakair,Kaliakair,,24.1033,90.2645,5055444B52699552656375
ADM3_Kaliganj_086039,Kaliganj,,23.9642,90.5549,5055444B61428192086039
ADM3_Kaliganj_882675,Kaliganj,,23.3697,89.1518,5055444B90064357882675
ADM3_Kaliganj_663470,Kaliganj,,22.4473,89.0623,5055444B41249726663470
ADM3_Kaliganj_098735,Kaliganj,,25.9856,89.2402,5055444B80538323098735
ADM3_Kalihati,Kalihati,,24.36,89.9448,5055444B56749671391085
ADM3_Kalkini,Kalkini,,23.0709,90.2481,5055444B57411868126880
ADM3_Kalmakanda,Kalmakanda,,25.077,90.8573,5055444B66227675822918
ADM3_Kalukhali,Kalukhali,,23.741,89.4743,5055444B5247362700203
ADM3_Kamalganj,Kamalganj,,24.3157,91.8592,5055444B17952966104219
ADM3_Kamalnagar,Kamalnagar,,22.7677,90.8653,5055444B78094476092411
ADM3_Kamarkhanda,Kamarkhanda,,24.3751,89.6434,5055444B74368179000930
ADM3_KamrangirChar,Kamrangir Char,,23.712,90.3715,5055444B25875561692739
ADM3_Kanaighat,Kanaighat,,24.9935,92.218,5055444B41434433148091
ADM3_Kanthalia,Kanthalia,,22.4203,90.1024,5055444B40108237642327
ADM3_Kapasia,Kapasia,,24.1472,90.5999,5055444B15486218196636
ADM3_Kaptai,Kaptai,,22.4599,92.1934,5055444B98244501145639
ADM3_Karimganj,Karimganj,,24.4513,90.896,5055444B80392478978834
ADM3_Kasba,Kasba,,23.763,91.1303,5055444B61264629124243
ADM3_Kashiani,Kashiani,,23.1907,89.7963,5055444B44426403332782
ADM3_Katiadi,Katiadi,,24.2911,90.824,5055444B24455875774794
ADM3_Kaunia,Kaunia,,25.7639,89.395,5055444B28911251557363
